,AG,AL,C,CS,CU,FG,HC,I,J,JD,L,M,MA,NI,OI,P,PB,PP,RB,RU,SF,SR,TA,V,Y,ZC
2012-06-01,-0.004107514,0.64734713,0.651498904,,-1.492153495,,,,,,0.028582308,-0.036139761,0.017770598,,-0.009108251,-0.405149206,,,-0.135549132,-0.023284187,,2.118922523,-0.198109763,-0.663090456,-0.286946433,
2012-06-04,0.015453001,1.162694571,0.676198582,,-1.929772974,,,,,,0.057148516,-0.021536237,-0.018355946,,0.018972342,-0.302371897,,,-0.130296973,0.007769784,,0.712217121,-0.15785564,-0.617911142,-0.191185389,
2012-06-05,0.019137682,0.33500155,0.429386671,,-0.726590612,,,,,,0.0538207,-0.004799926,0.038548982,,0.051379771,-0.156465572,,,0.005502674,-0.003845479,,0.105504617,-0.500038902,-0.109353979,-0.127933051,
2012-06-06,0.020192988,2.352026053,0.176468147,,-1.531054554,,,,,,0.031959613,-0.013563632,0.07048578,,0.008231926,-0.256591763,,,-0.078511335,0.004139957,,0.142463149,-0.167073951,-0.426136364,-0.20103363,
2012-06-07,0.047736148,1.291574883,0.462132519,,-2.209231511,,,,,,-0.005490708,-0.015416321,0.070819398,,0.015246538,-0.196153188,,,-0.069102643,0.01298586,,0.496408854,-0.342225193,-0.414075818,-0.188789576,
2012-06-08,0.076557267,0.952791946,0.528949646,,-1.894904608,,,,,,0.014982346,-0.066763326,0.064354913,,0.037819338,-0.239561674,,,-0.09146306,-0.013342976,,0.479915553,-0.309004752,-0.346536351,-0.257869193,
2012-06-11,0.019576644,1.379718821,0.443708448,,-1.548485962,,,,,,0.00785925,-0.031890481,0.047036413,,0.01844923,-0.1651144,,,-0.02379875,-0.008619394,,0.016934601,-0.215314872,-0.319506802,-0.175241525,
2012-06-12,0.025324404,1.742392408,0.387768164,,-1.288067071,,,,,,-0.005133466,-0.045188503,0.015602009,,0.034217449,-0.191659215,,,-0.105869147,-0.019494995,,-0.082245025,-0.22022658,-0.314840843,-0.187570438,
2012-06-13,-0.004870778,1.429580355,0.825928368,,-1.944952904,,,,,,0.007532662,-0.057316219,0.010484399,,0.053229726,-0.278760017,,,-0.055039249,-0.013715568,,-0.192157614,-0.275629563,-0.270285714,-0.258344493,
2012-06-14,0.049066701,3.546870776,0.458693945,,-2.118561056,,,,,,0.012109761,-0.061521984,-0.002294094,,0.074964696,-0.328723249,,,-0.080705546,-0.009170663,,-0.191010685,-0.326329442,-0.460309088,-0.294052465,
2012-06-15,0.075961737,0.675137789,0.40163416,,-1.617432777,,,,,,0.002224022,-0.073873543,-0.012038983,,0.032414513,-0.136898121,,,-0.176701767,-0.031620433,,-0.315608292,-0.330158656,-0.194419219,-0.136351186,
2012-06-18,0.015159285,1.540768475,0.381466721,,-1.124022505,,,,,,-0.001681414,-0.096375509,-0.016366545,,0.087754777,-0.166285574,,,-0.152923579,-0.013448917,,-0.373108893,-0.285851763,-0.318626327,-0.200610178,
2012-06-19,-0.009640008,0.980883722,0.395040036,,-1.342073668,,,,,,0.008306896,-0.089621513,-0.025930995,,0.142165271,-0.18096776,,,-0.157456903,-0.033231136,,-0.349228025,-0.370403269,-0.33772083,-0.206481622,
2012-06-20,0.009009228,0.999378915,0.2498153,,-2.031106826,,,,,,0.03566318,-0.043050989,0.02551086,,0.06380917,-0.20472856,,,-0.16833457,-0.018194905,,-0.343696326,-0.318090529,-0.405411959,-0.21088326,
2012-06-21,-0.014507654,0.624191222,0.430069855,,-1.881357162,,,,,,0.027800922,-0.06114989,0.047351525,,0.08193562,-0.199896987,,,-0.155183083,-0.006058709,,-0.462563053,-0.368190946,-0.349964147,-0.159440971,
2012-06-25,0.037554205,0.30431945,0.437031408,,-1.215688779,,,,,,0.020268823,-0.059412649,0.063036258,,0.105253829,-0.231590223,,,-0.071202675,-0.256826706,,-0.446395762,-0.326738331,-0.339165054,-0.233942651,
2012-06-26,-0.070761621,0.857033219,0.331396976,,-1.555575367,,,,,,-0.002070376,-0.046522677,0.064582013,,0.052600054,-0.224941238,,,-0.020367947,-0.28264421,,-0.574502846,-0.433085795,-0.411684659,-0.191865335,
2012-06-27,0.044384629,0.000377181,0.202648523,,-1.640979463,,,,,,0.008624583,-0.057808357,0.025324732,,0.072991339,-0.23303221,,,0.054226885,-0.282935143,,-0.270125576,-0.580146729,-0.396625185,-0.175625177,
2012-06-28,-0.004065911,0.492022544,0.443501047,,-1.448477755,,,,,,0.024548946,-0.062102641,0.030600659,,0.082819775,-0.282368737,,,-0.007585754,-0.201009418,,-0.402141773,-0.605932848,-0.14784844,-0.155507602,
2012-06-29,-0.066962806,0.892056495,0.541092319,,-1.617128289,,,,,,0.019931251,-0.042179812,0.008083065,,0.095179828,-0.360967949,,,-0.009288113,-0.220294534,,-0.493727216,-0.479499346,-0.338530524,-0.183897993,
2012-07-02,-0.105256422,1.253367939,0.622828607,,-0.757189142,,,,,,0.005405208,-0.061244612,0.013954713,,0.008690991,-0.307100605,,,-0.371447702,-0.127402781,,-0.36107145,-0.336883964,-0.259969355,-0.246718764,
2012-07-03,-0.071932085,1.602166502,0.4479618,,-1.186790673,,,,,,-0.009298889,-0.044866491,0.022412657,,-0.010912093,-0.356996117,,,-0.217117206,-0.19856092,,-0.453017547,-0.440141358,-0.328013222,-0.203208096,
2012-07-04,-0.04630054,1.343151257,0.239222912,,-0.876520486,,,,,,0.011559277,-0.028563421,0.025683975,,-0.059682826,-0.420924056,,,-0.367329892,-0.12298282,,-0.416519758,-0.241021844,-0.153402009,-0.224315819,
2012-07-05,0.046576394,1.423399805,0.111599499,,-1.399964651,,,,,,0.015274159,-0.021154217,0.033186344,,-0.066779256,-0.320597847,,,-0.390939036,-0.097332801,,-0.345051344,-0.254979431,-0.317030666,-0.190572823,
